No.     Time           Source                Destination           Protocol Length Info
    104 14.390665805   192.168.2.219         192.168.2.15          TCP      58     52091 → 43 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    105 14.390680951   192.168.2.219         192.168.2.15          TCP      58     52091 → 36 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    106 14.390687093   192.168.2.219         192.168.2.15          TCP      58     52091 → 57 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    107 14.390690764   192.168.2.219         192.168.2.15          TCP      58     52091 → 2 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    108 14.390695354   192.168.2.219         192.168.2.15          TCP      58     52091 → 75 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    109 14.390699036   192.168.2.219         192.168.2.15          TCP      58     52091 → 34 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    110 14.390703082   192.168.2.219         192.168.2.15          TCP      58     52091 → 79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    111 14.390706648   192.168.2.219         192.168.2.15          TCP      58     52091 → 11 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    112 14.390710604   192.168.2.219         192.168.2.15          TCP      58     52091 → 10 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    113 14.390715266   192.168.2.219         192.168.2.15          TCP      58     52091 → 77 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    114 14.390719049   192.168.2.219         192.168.2.15          TCP      58     52091 → 56 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    115 14.390722499   192.168.2.219         192.168.2.15          TCP      58     52091 → 95 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    116 14.390725662   192.168.2.219         192.168.2.15          TCP      58     52091 → 96 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    117 14.390729759   192.168.2.219         192.168.2.15          TCP      58     52091 → 28 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    118 14.390734752   192.168.2.219         192.168.2.15          TCP      58     52091 → 44 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    119 14.390738179   192.168.2.219         192.168.2.15          TCP      58     52091 → 18 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    120 14.390741327   192.168.2.219         192.168.2.15          TCP      58     52091 → 13 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    121 14.390744909   192.168.2.219         192.168.2.15          TCP      58     52091 → 26 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    122 14.390748867   192.168.2.219         192.168.2.15          TCP      58     52091 → 82 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    123 14.390752313   192.168.2.219         192.168.2.15          TCP      58     52091 → 41 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    124 14.390755713   192.168.2.219         192.168.2.15          TCP      58     52091 → 98 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    125 14.390759019   192.168.2.219         192.168.2.15          TCP      58     52091 → 16 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    126 14.390763453   192.168.2.219         192.168.2.15          TCP      58     52091 → 32 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    127 14.390767567   192.168.2.219         192.168.2.15          TCP      58     52091 → 64 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    128 14.390770933   192.168.2.219         192.168.2.15          TCP      58     52091 → 69 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    129 14.390774385   192.168.2.219         192.168.2.15          TCP      58     52091 → 12 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    130 14.390777805   192.168.2.219         192.168.2.15          TCP      58     52091 → 50 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    131 14.390782198   192.168.2.219         192.168.2.15          TCP      58     52091 → 87 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    132 14.390785668   192.168.2.219         192.168.2.15          TCP      58     52091 → 7 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    133 14.390789368   192.168.2.219         192.168.2.15          TCP      58     52091 → 60 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    134 14.390793380   192.168.2.219         192.168.2.15          TCP      58     52091 → 55 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    135 14.390796876   192.168.2.219         192.168.2.15          TCP      58     52091 → 93 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    136 14.390800046   192.168.2.219         192.168.2.15          TCP      58     52091 → 61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    137 14.390803224   192.168.2.219         192.168.2.15          TCP      58     52091 → 15 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    138 14.390806901   192.168.2.219         192.168.2.15          TCP      58     52091 → 92 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    139 14.390810628   192.168.2.219         192.168.2.15          TCP      58     52091 → 14 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    140 14.390815081   192.168.2.219         192.168.2.15          TCP      58     52091 → 45 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    141 14.390819756   192.168.2.219         192.168.2.15          TCP      58     52091 → 67 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
