No.     Time           Source                Destination           Protocol Length Info
    109 13.395894741   192.168.2.219         192.168.2.15          TCP      74     49584 → 15 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    110 13.395903090   192.168.2.219         192.168.2.15          TCP      74     44110 → 54 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    111 13.395914442   192.168.2.219         192.168.2.15          TCP      74     47166 → 87 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    112 13.395922096   192.168.2.219         192.168.2.15          TCP      74     47400 → 36 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    113 13.395930631   192.168.2.219         192.168.2.15          TCP      74     41408 → 7 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    114 13.396028677   192.168.2.219         192.168.2.15          TCP      74     45936 → 2 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    115 13.396030771   192.168.2.219         192.168.2.15          TCP      74     48458 → 14 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    116 13.396031297   192.168.2.219         192.168.2.15          TCP      74     42500 → 66 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    117 13.396031725   192.168.2.219         192.168.2.15          TCP      74     58776 → 96 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    129 13.396227089   192.168.2.219         192.168.2.15          TCP      74     37524 → 6 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    130 13.396238018   192.168.2.219         192.168.2.15          TCP      74     36460 → 83 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    131 13.396245596   192.168.2.219         192.168.2.15          TCP      74     53922 → 37 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
